Results of Simulation 1

Time	CR_mgL	CS_mgL	CK_mgL	CH_mgL	CBL_mgL	BalErr
6.5	6.37831e-16	2.16713e-16	1.63618e-15	3.09636e-16	1.02254e-15	-1.74683e-07
6.6	3.58263e-16	1.21726e-16	9.19026e-16	1.73919e-16	5.74349e-16	-1.74683e-07
6.7	2.01233e-16	6.83722e-17	5.16208e-16	9.76887e-17	3.22606e-16	-1.74683e-07
6.8	1.13031e-16	3.8404e-17	2.89949e-16	5.48708e-17	1.81205e-16	-1.74683e-07
6.9	6.34882e-17	2.15711e-17	1.62861e-16	3.08204e-17	1.01781e-16	-1.74683e-07
7	3.56607e-17	1.21163e-17	9.14776e-17	1.73115e-17	5.71694e-17	-1.74683e-07
7.1	2.00303e-17	6.80561e-18	5.13821e-17	9.72371e-18	3.21115e-17	-1.74683e-07
7.2	1.12508e-17	3.82264e-18	2.88608e-17	5.46171e-18	1.80367e-17	-1.74683e-07
7.3	6.31947e-18	2.14714e-18	1.62108e-17	3.06779e-18	1.0131e-17	-1.74683e-07
7.4	3.54958e-18	1.20603e-18	9.10547e-18	1.72315e-18	5.6905e-18	-1.74683e-07
7.5	1.99377e-18	6.77414e-19	5.11445e-18	9.67875e-19	3.1963e-18	-1.74683e-07
7.6	1.11988e-18	3.80497e-19	2.87274e-18	5.43646e-19	1.79533e-18	-1.74683e-07
7.7	6.29025e-19	2.13721e-19	1.61359e-18	3.05361e-19	1.00842e-18	-1.74683e-07
7.8	3.53317e-19	1.20045e-19	9.06337e-19	1.71518e-19	5.66419e-19	-1.74683e-07
7.9	1.98455e-19	6.74282e-20	5.09081e-19	9.634e-20	3.18152e-19	-1.74683e-07
8	1.1147e-19	3.78738e-20	2.85946e-19	5.41132e-20	1.78703e-19	-1.74683e-07
8.1	6.26116e-20	2.12733e-20	1.60613e-19	3.03949e-20	1.00376e-19	-1.74683e-07
8.2	3.51683e-20	1.1949e-20	9.02146e-20	1.70725e-20	5.638e-20	-1.74683e-07
8.3	1.97537e-20	6.71164e-21	5.06727e-20	9.58946e-21	3.16681e-20	-1.74683e-07
8.4	1.10955e-20	3.76986e-21	2.84623e-20	5.3863e-21	1.77877e-20	-1.74683e-07
8.5	6.23221e-21	2.1175e-21	1.5987e-20	3.02543e-21	9.99116e-21	-1.74683e-07
8.6	3.50057e-21	1.18938e-21	8.97975e-21	1.69936e-21	5.61194e-21	-1.74683e-07
8.7	1.96624e-21	6.68061e-22	5.04384e-21	9.54512e-22	3.15217e-21	-1.74683e-07
8.8	1.10442e-21	3.75243e-22	2.83307e-21	5.3614e-22	1.77054e-21	-1.74683e-07
8.9	6.2034e-22	2.10771e-22	1.59131e-21	3.01145e-22	9.94496e-22	-1.74683e-07
9	3.48439e-22	1.18388e-22	8.93823e-22	1.6915e-22	5.58599e-22	-1.74683e-07
9.1	1.95715e-22	6.64972e-23	5.02052e-22	9.50098e-23	3.13759e-22	-1.74683e-07
9.2	1.09931e-22	3.73508e-23	2.81998e-22	5.33661e-23	1.76236e-22	-1.74683e-07
9.3	6.17472e-23	2.09796e-23	1.58395e-22	2.99752e-23	9.89898e-23	-1.74683e-07
9.4	3.46828e-23	1.1784e-23	8.89691e-23	1.68368e-23	5.56016e-23	-1.74683e-07
9.5	1.9481e-23	6.61898e-24	4.9973e-23	9.45705e-24	3.12309e-23	-1.74683e-07
9.6	1.09423e-23	3.71781e-24	2.80694e-23	5.31193e-24	1.75421e-23	-1.74683e-07
9.7	6.14617e-24	2.08826e-24	1.57663e-23	2.98366e-24	9.85321e-24	-1.74683e-07
9.8	3.45224e-24	1.17295e-24	8.85577e-24	1.67589e-24	5.53445e-24	-1.74683e-07
9.9	1.93909e-24	6.58837e-25	4.9742e-24	9.41333e-25	3.10865e-24	-1.74683e-07
10	1.08917e-24	3.70062e-25	2.79396e-24	5.28737e-25	1.7461e-24	-1.74683e-07
10.1	6.11775e-25	2.0786e-25	1.56934e-24	2.96987e-25	9.80765e-25	-1.74683e-07
10.2	3.43628e-25	1.16753e-25	8.81482e-25	1.66814e-25	5.50886e-25	-1.74683e-07
10.3	1.93012e-25	6.55791e-26	4.9512e-25	9.3698e-26	3.09427e-25	-1.74683e-07
10.4	1.08413e-25	3.68351e-26	2.78104e-25	5.26293e-26	1.73802e-25	-1.74683e-07
10.5	6.08946e-26	2.06899e-26	1.56208e-25	2.95613e-26	9.76231e-26	-1.74683e-07
10.6	3.42039e-26	1.16213e-26	8.77407e-26	1.66043e-26	5.48339e-26	-1.74683e-07
10.7	1.9212e-26	6.52759e-27	4.92831e-26	9.32648e-27	3.07997e-26	-1.74683e-07
10.8	1.07912e-26	3.66648e-27	2.76818e-26	5.23859e-27	1.72999e-26	-1.74683e-07
10.9	6.06131e-27	2.05943e-27	1.55486e-26	2.94247e-27	9.71717e-27	-1.74683e-07
11	3.40458e-27	1.15676e-27	8.7335e-27	1.65275e-27	5.45804e-27	-1.74683e-07
11.1	1.91232e-27	6.49741e-28	4.90552e-27	9.28336e-28	3.06573e-27	-1.74683e-07
11.2	1.07413e-27	3.64953e-28	2.75538e-27	5.21437e-28	1.72199e-27	-1.74683e-07
11.3	6.03328e-28	2.04991e-28	1.54767e-27	2.92886e-28	9.67224e-28	-1.74683e-07
11.4	3.38884e-28	1.15141e-28	8.69312e-28	1.64511e-28	5.4328e-28	-1.74683e-07
11.5	1.90348e-28	6.46737e-29	4.88284e-28	9.24044e-29	3.05155e-28	-1.74683e-07
11.6	1.06916e-28	3.63266e-29	2.74264e-28	5.19026e-29	1.71403e-28	-1.74683e-07
11.7	6.00539e-29	2.04043e-29	1.54052e-28	2.91532e-29	9.62752e-29	-1.74683e-07
11.8	3.37317e-29	1.14609e-29	8.65293e-29	1.63751e-29	5.40768e-29	-1.74683e-07
11.9	1.89468e-29	6.43747e-30	4.86026e-29	9.19771e-30	3.03744e-29	-1.74683e-07
12	1.06422e-29	3.61586e-30	2.72996e-29	5.16627e-30	1.7061e-29	-1.74683e-07
12.1	5.97762e-30	2.03099e-30	1.53339e-29	2.90184e-30	9.58301e-30	-1.74683e-07
12.2	3.35757e-30	1.14079e-30	8.61292e-30	1.62994e-30	5.38268e-30	-1.74683e-07
12.3	1.88591e-30	6.4077e-31	4.83779e-30	9.15519e-31	3.0234e-30	-1.74683e-07
12.4	1.0593e-30	3.59914e-31	2.71734e-30	5.14238e-31	1.69821e-30	-1.74683e-07
12.5	5.94998e-31	2.0216e-31	1.5263e-30	2.88842e-31	9.5387e-31	-1.74683e-07
12.6	3.34205e-31	1.13551e-31	8.5731e-31	1.6224e-31	5.35779e-31	-1.74683e-07
12.7	1.8772e-31	6.37807e-32	4.81542e-31	9.11286e-32	3.00942e-31	-1.74683e-07
12.8	1.0544e-31	3.5825e-32	2.70478e-31	5.1186e-32	1.69036e-31	-1.74683e-07
12.9	5.92247e-32	2.01226e-32	1.51925e-31	2.87507e-32	9.4946e-32	-1.74683e-07
13	3.3266e-32	1.13026e-32	8.53346e-32	1.6149e-32	5.33302e-32	-1.74683e-07
13.1	1.86852e-32	6.34859e-33	4.79316e-32	9.07072e-33	2.99551e-32	-1.74683e-07
13.2	1.04953e-32	3.56594e-33	2.69227e-32	5.09494e-33	1.68255e-32	-1.74683e-07
13.3	5.89509e-33	2.00295e-33	1.51222e-32	2.86178e-33	9.4507e-33	-1.74683e-07
13.4	3.31121e-33	1.12504e-33	8.494e-33	1.60743e-33	5.30836e-33	-1.74683e-07
13.5	1.85988e-33	6.31923e-34	4.771e-33	9.02878e-34	2.98166e-33	-1.74683e-07
13.6	1.04467e-33	3.54945e-34	2.67982e-33	5.07138e-34	1.67477e-33	-1.74683e-07
13.7	5.86783e-34	1.99369e-34	1.50523e-33	2.84854e-34	9.407e-34	-1.74683e-07
13.8	3.2959e-34	1.11984e-34	8.45473e-34	1.6e-34	5.28382e-34	-1.74683e-07
13.9	1.85128e-34	6.29001e-35	4.74894e-34	8.98704e-35	2.96787e-34	-1.74683e-07
14	1.03984e-34	3.53304e-35	2.66743e-34	5.04793e-35	1.66702e-34	-1.74683e-07
14.1	5.8407e-35	1.98447e-35	1.49827e-34	2.83537e-35	9.36351e-35	-1.74683e-07
14.2	3.28067e-35	1.11466e-35	8.41564e-35	1.5926e-35	5.25939e-35	-1.74683e-07
14.3	1.84272e-35	6.26093e-36	4.72698e-35	8.94549e-36	2.95415e-35	-1.74683e-07
14.4	1.03504e-35	3.5167e-36	2.6551e-35	5.02459e-36	1.65932e-35	-1.74683e-07
14.5	5.8137e-36	1.9753e-36	1.49134e-35	2.82226e-36	9.32021e-36	-1.74683e-07
14.6	3.2655e-36	1.10951e-36	8.37673e-36	1.58524e-36	5.23507e-36	-1.74683e-07
14.7	1.8342e-36	6.23198e-37	4.70513e-36	8.90413e-37	2.94049e-36	-1.74683e-07
14.8	1.03025e-36	3.50044e-37	2.64282e-36	5.00136e-37	1.65164e-36	-1.74683e-07
14.9	5.78682e-37	1.96616e-37	1.48445e-36	2.80921e-37	9.27712e-37	-1.74683e-07
15	3.2504e-37	1.10438e-37	8.338e-37	1.57791e-37	5.21087e-37	-1.74683e-07
15.1	1.82572e-37	6.20317e-38	4.68337e-37	8.86296e-38	2.92689e-37	-1.74683e-07
15.2	1.02549e-37	3.48426e-38	2.6306e-37	4.97824e-38	1.64401e-37	-1.74683e-07
15.3	5.76006e-38	1.95707e-38	1.47758e-37	2.79623e-38	9.23423e-38	-1.74683e-07
