Results of Simulation 1

Time	CR_mgL	CS_mgL	CBL_mgL	BalErr
12.7	374.23	1003.63	623.378	-2.64323e-11
12.8	370.577	994.031	617.289	-2.66301e-11
12.9	366.939	984.338	611.229	-2.68433e-11
13	363.331	974.68	605.218	-2.71231e-11
13.1	359.756	965.097	599.263	-2.73933e-11
13.2	356.216	955.601	593.366	-2.76839e-11
13.3	352.71	946.198	587.527	-2.79637e-11
13.4	349.239	936.886	581.744	-2.82415e-11
13.5	345.802	927.665	576.019	-2.85224e-11
13.6	342.398	918.536	570.35	-2.88062e-11
13.7	339.029	909.495	564.737	-2.90929e-11
13.8	335.692	900.544	559.179	-2.93822e-11
13.9	332.388	891.681	553.675	-2.96734e-11
14	329.117	882.906	548.226	-2.99685e-11
14.1	325.878	874.216	542.831	-3.02664e-11
14.2	322.67	865.612	537.488	-3.0567e-11
14.3	319.495	857.093	532.198	-3.087e-11
14.4	316.35	848.658	526.96	-3.11761e-11
14.5	313.237	840.306	521.774	-3.1486e-11
14.6	310.154	832.035	516.639	-3.18001e-11
14.7	307.102	823.847	511.554	-3.21158e-11
14.8	304.079	815.739	506.52	-3.24344e-11
14.9	301.086	807.71	501.535	-3.2757e-11
15	298.123	799.761	496.599	-3.30826e-11
15.1	295.189	791.89	491.711	-3.34117e-11
15.2	292.284	784.096	486.872	-3.37438e-11
15.3	289.407	776.379	482.08	-3.40789e-11
15.4	286.559	768.738	477.336	-3.44179e-11
15.5	283.739	761.172	472.638	-3.4759e-11
15.6	280.946	753.681	467.986	-3.51056e-11
15.7	278.181	746.263	463.38	-3.5455e-11
15.8	275.443	738.919	458.82	-3.58071e-11
15.9	272.733	731.647	454.304	-3.6163e-11
16	270.048	724.446	449.833	-3.65222e-11
16.1	267.391	717.316	445.406	-3.68854e-11
16.2	264.759	710.256	441.022	-3.72519e-11
16.3	262.153	703.266	436.682	-3.76209e-11
16.4	259.573	696.345	432.384	-3.79945e-11
16.5	257.019	689.491	428.129	-3.83723e-11
16.6	254.489	682.706	423.915	-3.87537e-11
16.7	251.984	675.986	419.743	-3.91384e-11
16.8	249.504	669.334	415.612	-3.95272e-11
16.9	247.049	662.746	411.522	-3.99199e-11
17	244.617	656.223	407.471	-4.03173e-11
17.1	242.21	649.765	403.461	-4.07182e-11
17.2	239.826	643.37	399.49	-4.11225e-11
17.3	237.466	637.038	395.559	-4.15319e-11
17.4	235.129	630.769	391.666	-4.19452e-11
17.5	232.815	624.561	387.811	-4.23621e-11
17.6	230.523	618.414	383.994	-4.27832e-11
17.7	228.255	612.328	380.215	-4.32085e-11
17.8	226.008	606.301	376.473	-4.36381e-11
17.9	223.784	600.334	372.768	-4.40724e-11
18	221.581	594.426	369.099	-4.45104e-11
18.1	219.401	588.575	365.466	-4.49528e-11
18.2	217.241	582.783	361.87	-4.53996e-11
18.3	215.103	577.047	358.308	-4.58511e-11
